Kocchar		1
Mukherjee		1
courage		1
local		1
@\u2026		1
injured		1
crisis(Nepal		1
Victims.		1
Shrestha		1
Broadcasters		1
Amar		1
USA		1
Believe		1
famous		1
drugs		1
\ud83d\udc4d\ud83d\udc4d\ud83d\udc4d\ud83d\udc4d\ud83d\udc4d		1
earthquake.#NepalQuakeRelief		1
@Medium		1
Fund.plz		1
USM		1
@EMSA_Director		1
-struck		1
powerful		1
Indicative		1
Nepal\nMinistry		1
urgently		1
a\u2026		1
thousand		1
Task		1
@FollowCII		1
Journal		1
#SajhaSawal		1
victims\nhttps://t.co/jZPun9It7B		1
403,900		1
(India		1
Minister's		1
officia\u2026		1
for..		1
2015Goa		1
pregnant		1
@ChouhanShivraj		1
new		1
@sharmabishnu		1
touch		1
\nEarthquake		1
expense		1
Gundu		1
READ		1
200		1
Transparent		1
st.@Gurmeetramrahim		1
\"Meating		1
@ankydas0		1
collect		1
specialized		1
A..		1
5000		1
locate		1
Mr		1
TimesNow		1
financial		1
deva..		1
dreams		1
talented		1
Mapathon		1
\n\n#NepalDisasterReliefByMSG		1
row		1
says		1
Ronaldo..Thank		1
expo		1
@shankarverma39		1
exhibition		1
of..		1
hands\n#MSGHelpEarthquakeVictims		1
doctor		1
SCRIPPS		1
productive		1
@sandeepinsan342		1
pls		1
Sign		1
wake-up		1
long-term		1
caught		1
Cody		1
@awryaditi		1
@panthijeeban		1
cro..		1
@TheLiveMirror		1
jad		1
acts		1
vo..		1
@Nepal_RR		1
companies		1
#Yugvani		1
Heroic		1
Swing		1
jave		1
Humantarian		1
state		1
Requesting		1
@passiminakshi		1
meeting		1
more\u2026		1
@InfiniteLjong		1
:#NepalQuake		1
Make		1
@@ColoradoStateU		1
@Oneindia		1
\n@HMOIndia		1
have..		1
@recordnepal		1
IAF		1
#NGOs		1
@bindu_lohani		1
victims..		1
Amazing		1
Running		1
60000		1
volunteerism		1
safeguard		1
@IArtCs		1
@juneboy_uzzwal		1
@Economynext		1
pples		1
housing		1
Khan		1
students		1
anokha		1
ward		1
Praised		1
sores		1
Washington		1
worth		1
!\u2026		1
Association		1
satgur		1
matiral		1
scenario		1
Saraf		1
came		1
Infrastructure		1
#Help_for_Nepal\n#Thankyou_sir		1
Portal		1
others....2		1
distribute		1
adptd		1
Face		1
latest		1
Rs		1
*sigh		1
@RepublicaNepal		1
#MSGhel\u2026		1
SWN		1
ppl		1
Story:\nhttp://t.co/kwsXVte0Dz		1
call		1
@htTweets		1
TEAM		1
them.our		1
#Economynext		1
#studioatbutler		1
Kalthari		1
listening!\"@IndiaToday		1
thing		1
7000		1
@insan_pooja1		1
@Neegam		1
won't		1
Federal		1
Gorkha		1
Victims..		1
reportedly		1
run		1
Sharif		1
\u00a35million		1
rescuing		1
vulnerable		1
Neapli		1
Bihar.\n#Playforacause		1
continue		1
IDR		1
Search		1
dogs		1
houses		1
@RaviSinghKA		1
volunteering		1
UN		1
donate		1
US		1
tech		1
given		1
Abvp		1
@salahuddinraz		1
\u2018Donation		1
Book\n		1
Madhya		1
Deerwalk		1
Four-legged		1
#ChristianoRonaldo		1
camp		1
Dera		1
#EPAO		1
8-year-old		1
\nhttp://t.co/9ADbQSFnVC		1
@rajutiwary85		1
district		1
@nepalarmy94		1
Marathon		1
CRPF		1
